Results Table 1
,Force at Preset point (PIP 1),Displacement at Preset point (PIP 1),Time at Preset point (PIP 1)
,(kN),(mm),(s)
1,"0.15","0.31","5.82"

Raw Data
Time,Force,Displacement,PIP count
(s),(N),(mm),
"10.2800","153.8642","0.3112","1.0000"
"10.3000","153.7177","0.3112","1.0000"
"10.3200","153.6848","0.3112","1.0000"
"10.3400","153.7292","0.3112","1.0000"
"10.3600","153.7065","0.3112","1.0000"
"10.3800","153.7153","0.3112","1.0000"
"10.4000","153.7742","0.3112","1.0000"
"10.4200","153.7859","0.3112","1.0000"
"10.4400","153.6977","0.3112","1.0000"
"10.4600","153.6834","0.3112","1.0000"
"10.4800","153.7104","0.3112","1.0000"
"10.5000","153.7718","0.3112","1.0000"
"10.5200","153.7633","0.3112","1.0000"
"10.5400","153.7442","0.3112","1.0000"
"10.5600","153.7305","0.3112","1.0000"
"10.5800","153.7606","0.3112","1.0000"
"10.6000","153.6773","0.3112","1.0000"
"10.6200","153.7635","0.3112","1.0000"
"10.6400","153.8668","0.3112","1.0000"
"10.6600","153.6973","0.3112","1.0000"
"10.6800","153.5865","0.3112","1.0000"
"10.7000","153.7856","0.3112","1.0000"
"10.7200","153.7940","0.3112","1.0000"
"10.7400","153.5853","0.3112","1.0000"
"10.7600","153.6683","0.3112","1.0000"
"10.7800","153.7375","0.3112","1.0000"
"10.8000","153.7008","0.3112","1.0000"
"10.8200","153.6816","0.3112","1.0000"
"10.8400","153.7744","0.3112","1.0000"
"10.8600","153.7435","0.3112","1.0000"
"10.8800","153.6947","0.3112","1.0000"
"10.9000","153.8190","0.3112","1.0000"
"10.9200","153.7715","0.3112","1.0000"
"10.9400","153.6703","0.3112","1.0000"
"10.9600","153.6450","0.3112","1.0000"
"10.9800","153.7066","0.3112","1.0000"
"11.0000","153.7393","0.3112","1.0000"
"11.0200","153.7568","0.3112","1.0000"
"11.0400","153.7711","0.3112","1.0000"
"11.0600","153.7077","0.3112","1.0000"
"11.0800","153.6578","0.3112","1.0000"
"11.1000","153.7110","0.3112","1.0000"
"11.1200","153.6290","0.3112","1.0000"
"11.1400","153.5974","0.3112","1.0000"
"11.1600","153.7577","0.3112","1.0000"
"11.1800","153.8292","0.3112","1.0000"
"11.2000","153.5848","0.3112","1.0000"
"11.2200","153.4420","0.3112","1.0000"
"11.2400","153.6451","0.3112","1.0000"
"11.2600","153.6200","0.3112","1.0000"
"11.2800","153.6000","0.3112","1.0000"
"11.3000","153.6738","0.3112","1.0000"
"11.3200","153.7418","0.3112","1.0000"
"11.3400","153.6703","0.3112","1.0000"
"11.3600","153.6646","0.3112","1.0000"
"11.3800","153.6584","0.3112","1.0000"
"11.4000","153.5878","0.3112","1.0000"
"11.4200","153.6859","0.3112","1.0000"
"11.4400","153.7321","0.3112","1.0000"
"11.4600","153.6888","0.3112","1.0000"
"11.4800","153.6836","0.3112","1.0000"
"11.5000","153.7105","0.3112","1.0000"
"11.5200","153.7368","0.3112","1.0000"
"11.5400","153.6715","0.3112","1.0000"
"11.5600","153.6843","0.3112","1.0000"
"11.5800","153.6819","0.3112","1.0000"
"11.6000","153.7300","0.3112","1.0000"
"11.6200","153.6831","0.3112","1.0000"
"11.6400","153.7044","0.3112","1.0000"
"11.6600","153.6958","0.3112","1.0000"
"11.6800","153.7047","0.3112","1.0000"
"11.7000","153.9026","0.3112","1.0000"
"11.7200","153.8888","0.3112","1.0000"
"11.7400","153.6409","0.3112","1.0000"
"11.7600","153.6275","0.3112","1.0000"
"11.7800","153.8463","0.3112","1.0000"
"11.8000","153.6796","0.3112","1.0000"
"11.8200","153.5258","0.3112","1.0000"
"11.8400","153.6620","0.3112","1.0000"
"11.8600","153.6945","0.3112","1.0000"
"11.8800","153.6019","0.3112","1.0000"
"11.9000","153.7731","0.3112","1.0000"
"11.9200","153.8384","0.3112","1.0000"
"11.9400","153.6469","0.3112","1.0000"
